customer_id,age,tenure_months,monthly_spend,support_tickets,satisfaction_score,channel,issue_type,resolved,churn_risk,priority
C0308,46,35,119.47,0,5,web,technical,1,0.943,critical
C0309,34,7,57.88,0,2,call,billing,1,0.175,critical
C0310,23,69,188.33,2,4,app,product,1,0.151,medium
C0311,52,18,74.2,3,3,app,billing,0,0.318,high
C0312,52,47,92.52,1,5,app,billing,0,0.574,medium
C0313,24,48,44.66,1,2,app,technical,1,0.681,critical
C0314,32,36,149.71,1,1,store,product,0,0.013,critical
C0315,30,63,129.18,1,2,app,account,0,0.778,critical
C0316,52,8,100.39,1,4,app,product,1,0.175,medium
C0317,55,17,42.86,2,5,web,account,1,0.296,medium
C0318,55,18,97.37,1,5,app,technical,1,0.322,medium
C0319,66,10,50.75,2,1,call,technical,1,0.332,critical
C0320,57,21,141.18,5,3,call,account,1,0.76,high
C0321,34,23,118.32,3,1,app,technical,1,0.041,critical
C0322,23,55,93.34,2,2,web,account,1,0.197,critical
C0323,49,22,20.0,2,5,store,technical,1,0.022,medium
C0324,65,63,55.58,3,5,call,billing,1,0.778,high
C0325,68,55,114.07,2,1,call,product,1,0.984,critical
C0326,29,65,132.45,1,1,app,billing,1,0.66,critical
C0327,30,8,128.82,1,4,app,billing,1,0.59,medium
C0328,19,70,34.28,5,3,call,billing,1,0.908,critical
C0329,25,44,100.55,3,3,app,billing,1,0.255,high
C0330,46,70,125.54,3,5,web,technical,1,0.066,high
C0331,46,26,31.96,1,5,app,account,1,0.51,medium
C0332,37,68,89.72,4,5,web,technical,1,0.26,high
C0333,34,42,99.58,2,4,store,account,1,0.451,medium
C0334,61,6,79.47,1,5,web,product,1,0.456,medium
C0335,41,30,25.17,3,4,store,billing,1,0.319,high
C0336,60,10,78.6,2,5,web,billing,1,0.486,medium
C0337,68,67,78.54,4,3,web,account,0,0.38,high
C0338,34,22,84.82,1,1,call,product,1,0.113,critical
C0339,28,16,70.28,1,5,call,account,0,0.867,critical
C0340,67,40,74.49,3,5,web,technical,1,0.701,high
C0341,51,31,88.61,3,2,call,product,1,0.041,critical
C0342,33,7,105.49,3,3,web,product,0,0.116,high
C0343,50,58,79.35,2,3,web,account,0,0.097,medium
C0344,44,61,75.66,4,4,web,billing,1,0.062,high
C0345,65,53,93.23,4,4,store,account,1,0.059,high
C0346,31,44,22.77,3,2,call,technical,1,0.157,critical
C0347,69,29,106.7,5,5,store,account,1,0.848,critical
C0348,66,39,89.98,5,5,app,technical,1,0.828,critical
C0349,27,37,91.39,3,5,store,product,1,0.783,high
C0350,26,12,123.63,4,3,call,technical,1,0.615,high
C0351,45,6,21.65,1,1,app,account,1,0.723,critical
C0352,20,18,20.92,2,5,web,billing,1,0.738,medium
C0353,33,33,99.58,0,1,web,technical,1,0.889,critical
C0354,40,12,89.75,3,1,web,product,1,0.732,critical
C0355,68,8,95.96,3,2,store,product,0,0.736,critical
C0356,69,61,73.83,0,1,store,technical,1,0.804,critical
C0357,25,27,113.25,1,4,web,product,1,0.556,medium
C0358,64,42,122.64,1,3,app,technical,1,0.213,medium
C0359,22,38,106.94,3,2,app,product,1,0.085,critical
C0360,56,53,80.87,2,1,web,product,1,0.419,critical
C0361,61,53,20.0,2,2,web,product,1,0.092,critical
C0362,64,22,116.92,5,4,web,account,0,0.169,high
C0363,29,61,132.76,5,4,web,technical,0,0.024,high
C0364,64,27,112.56,4,2,app,billing,0,0.3,critical
C0365,24,60,59.21,1,1,store,product,0,0.97,critical
C0366,44,29,113.58,1,3,web,billing,1,0.379,medium
C0367,42,8,120.12,3,4,store,billing,1,0.241,high
C0368,34,54,144.56,1,1,web,product,1,0.403,critical
C0369,19,3,59.34,2,4,store,technical,1,0.301,medium
C0370,58,55,82.07,2,1,store,technical,1,0.674,critical
C0371,35,4,116.15,3,2,call,account,1,0.634,critical
C0372,52,15,92.01,0,4,store,billing,1,0.027,medium
C0373,39,43,50.89,1,1,app,billing,1,0.511,critical
C0374,37,67,104.51,3,2,web,billing,1,0.036,critical
C0375,64,30,110.25,1,1,call,billing,1,0.677,critical
C0376,22,9,93.08,1,2,web,product,1,0.936,critical
C0377,56,17,97.69,3,4,web,product,1,0.907,critical
C0378,56,64,80.95,1,2,app,product,1,0.206,critical
C0379,37,52,141.74,3,1,call,billing,1,0.743,critical
C0380,31,8,58.48,3,2,web,technical,1,0.793,critical
C0381,18,28,69.44,2,1,store,billing,1,0.864,critical
C0382,66,19,90.38,1,4,call,product,1,0.26,medium
C0383,67,13,120.76,5,5,app,product,0,0.451,high
C0384,30,61,37.59,2,1,call,billing,1,0.222,critical
C0385,19,44,44.14,1,4,web,account,0,0.024,medium
C0386,24,13,20.0,2,2,store,product,1,0.659,critical
C0387,21,47,91.14,1,1,web,technical,1,0.431,critical
C0388,61,30,50.86,2,4,web,product,0,0.248,medium
C0389,64,5,76.54,0,2,store,product,1,0.847,critical
C0390,25,32,113.15,4,3,call,billing,1,0.496,high
C0391,56,14,67.55,3,3,web,billing,1,0.995,critical
C0392,27,18,98.09,5,3,call,product,1,0.793,high
C0393,37,63,79.52,3,1,call,account,1,0.869,critical
C0394,49,51,113.52,2,2,call,product,1,0.773,critical
C0395,55,10,106.63,1,4,web,product,1,0.106,medium
C0396,63,61,65.78,2,5,web,product,1,0.065,medium
C0397,20,41,84.1,3,1,web,technical,1,0.915,critical
C0398,28,63,126.53,2,3,web,billing,1,0.138,medium
C0399,32,54,103.77,0,5,web,technical,1,0.391,medium
C0400,34,25,41.11,0,2,web,account,1,0.61,critical
C0401,69,38,112.95,3,3,web,account,0,0.212,high
C0402,58,38,52.04,3,5,web,account,1,0.225,high
C0403,34,52,139.44,3,5,app,billing,1,0.466,high
C0404,68,18,125.84,1,4,call,technical,1,0.361,medium
C0405,43,24,100.15,3,4,web,product,1,0.677,high
C0406,44,18,95.5,3,4,app,billing,1,0.075,high
C0407,40,22,82.68,6,2,web,billing,1,0.489,critical
C0408,25,12,113.75,1,5,store,product,1,0.174,medium
C0409,66,3,77.02,2,1,app,product,0,0.607,critical
C0410,18,67,98.24,3,1,store,product,1,0.116,critical
C0411,27,6,120.52,1,4,web,billing,1,0.198,medium
C0412,29,64,70.34,2,5,web,technical,0,0.804,critical
C0413,32,1,68.43,0,5,store,billing,0,0.235,medium
C0414,24,56,48.2,0,4,call,billing,0,0.737,medium
C0415,18,24,52.74,2,2,store,technical,1,0.273,critical
C0416,53,37,26.01,1,2,store,technical,0,0.235,critical
C0417,68,21,115.54,4,3,web,account,0,0.299,high
C0418,24,35,153.31,2,2,store,technical,1,0.881,critical
C0419,33,33,139.89,0,3,web,billing,1,0.397,medium
C0420,44,38,33.09,1,1,app,billing,0,0.244,critical
C0421,66,28,115.37,4,2,call,product,1,0.537,critical
C0422,54,39,139.77,2,5,store,billing,1,0.386,medium
C0423,57,59,74.01,3,4,call,billing,1,0.79,high
C0424,48,31,93.55,2,1,web,technical,1,0.99,critical
C0425,39,26,20.0,2,2,web,billing,1,0.527,critical
C0426,28,10,99.34,1,2,store,product,1,0.452,critical
C0427,62,26,52.78,1,2,store,technical,1,0.343,critical
C0428,59,9,96.99,3,4,call,billing,1,0.973,critical
C0429,19,13,35.36,2,5,app,product,1,0.483,medium
C0430,55,68,109.0,3,4,web,technical,1,0.178,high
C0431,22,7,125.86,2,3,web,product,0,0.969,critical
C0432,56,35,62.59,2,1,call,billing,1,0.961,critical
C0433,60,60,50.21,2,1,web,product,1,0.436,critical
C0434,24,68,20.0,2,5,web,billing,1,0.348,medium
C0435,40,11,80.68,3,4,app,technical,1,0.68,high
C0436,24,12,69.64,2,3,app,billing,0,0.829,critical
C0437,47,27,35.71,3,3,app,account,1,0.499,high
C0438,66,40,105.86,1,5,web,billing,0,0.331,medium
C0439,22,69,74.25,2,5,web,account,0,0.301,medium
C0440,38,15,52.35,2,1,store,account,1,0.327,critical
C0441,68,12,70.59,0,2,app,technical,1,0.118,critical
C0442,33,18,127.5,2,1,web,technical,1,0.779,critical
C0443,24,63,111.1,2,2,web,technical,1,0.105,critical
C0444,43,3,85.45,1,4,web,account,1,0.398,medium
C0445,44,27,111.67,1,2,call,product,1,0.835,critical
C0446,52,9,49.37,0,1,call,technical,1,0.404,critical
C0447,34,12,91.13,3,3,call,billing,1,0.295,high
C0448,67,66,95.16,3,3,web,account,1,0.948,critical
C0449,45,1,73.56,1,4,call,billing,1,0.127,medium
C0450,32,23,105.24,0,1,store,billing,1,0.885,critical
C0451,67,65,62.68,3,2,web,billing,1,0.062,critical
C0452,66,44,107.84,2,4,web,technical,0,0.414,medium
C0453,43,6,109.32,1,4,store,account,1,0.632,medium
C0454,19,34,20.0,5,5,web,product,1,0.37,high
C0455,49,69,131.66,1,5,app,billing,0,0.535,medium
C0456,46,29,20.0,0,5,store,technical,0,0.204,medium
C0457,25,38,68.44,3,3,web,product,1,0.569,high
C0458,50,38,125.89,2,5,call,technical,1,0.135,medium
C0459,61,47,78.89,1,3,call,billing,1,0.796,medium
C0460,23,14,38.68,3,5,web,technical,1,0.584,high
C0461,55,60,51.72,1,2,call,product,1,0.482,critical
C0462,25,71,125.94,3,3,web,account,1,0.055,high
C0463,56,11,22.75,5,4,web,product,1,0.5,high
C0464,39,59,129.51,3,2,call,billing,1,0.564,critical
C0465,18,59,88.07,2,1,store,product,1,0.266,critical
C0466,68,53,48.27,2,5,web,billing,1,0.678,medium
C0467,26,27,69.59,1,3,web,account,1,0.077,medium
C0468,48,34,54.4,4,5,store,technical,1,0.209,high
C0469,27,60,120.32,3,2,web,billing,1,0.738,critical
C0470,66,11,115.63,2,5,app,technical,1,0.147,medium
C0471,56,59,29.83,3,4,store,billing,1,0.246,high
C0472,59,66,75.87,1,4,app,billing,1,0.651,medium
C0473,40,49,59.79,1,4,web,product,1,0.729,medium
